chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Senate,Shelley Moore Capito,Capito,R,WV,94.5,42.2,93,1.5
Senate,John Barrasso,Barrasso,R,WY,94.6,46.3,93.2,1.4
Senate,Mike Crapo,Crapo,R,ID,92.7,31.8,91.6,1.1
Senate,James Lankford,Lankford,R,OK,92.9,36.4,92.6,0.2
Senate,Chris Van Hollen,Van Hollen,D,MD,21.8,-26.4,21.9,-0.1
Senate,Ben Sasse,Sasse,R,NE,89.1,25,89.3,-0.2
Senate,Michael B. Enzi,Enzi,R,WY,92.9,46.3,93.2,-0.4
Senate,James E. Risch,Risch,R,ID,91.1,31.8,91.7,-0.6
Senate,Charles E. Schumer,Schumer,D,NY,23.2,-22.5,23.8,-0.6
Senate,Mark R. Warner,Warner,D,VA,42.9,-5.3,43.5,-0.7
Senate,Thomas R. Carper,Carper,D,DE,32.1,-11.4,34.1,-1.9
Senate,Maria Cantwell,Cantwell,D,WA,26.8,-15.5,29.5,-2.7
Senate,Tammy Duckworth,Duckworth,D,IL,25,-17.1,28,-3
Senate,Angus S. King Jr.,King,I,ME,44.6,-3,48,-3.4
Senate,Christopher A. Coons,Coons,D,DE,30.9,-11.4,34.5,-3.6
Senate,Kamala D. Harris,Harris,D,CA,16.1,-30.1,19.7,-3.6
Senate,Bob Corker,Corker,R,TN,85.5,26,89.3,-3.8
Senate,Christopher Murphy,Murphy,D,CT,27.3,-13.6,31.3,-4
Senate,Robert Menendez,Menéndez,D,NJ,24.1,-14.1,28.5,-4.4
Senate,Richard J. Durbin,Durbin,D,IL,22.2,-17.1,27.1,-4.9
Senate,Jack Reed,Reed,D,RI,23.2,-15.5,29.5,-6.2
Senate,Sheldon Whitehouse,Whitehouse,D,RI,23.2,-15.5,29.5,-6.2
Senate,Patty Murray,Murray,D,WA,23.2,-15.5,29.5,-6.3
Senate,Edward J. Markey,Markey,D,MA,14.5,-27.2,21.5,-6.9
Senate,Bernard Sanders,Sanders,I,VT,14.3,-26.4,21.5,-7.3
Senate,Rand Paul,Paul,R,KY,83,29.8,90.9,-7.9
Senate,Tim Kaine,Kaine,D,VA,33.9,-5.3,43.5,-9.6
Senate,Elizabeth Warren,Warren,D,MA,10.7,-27.2,21.1,-10.4
Senate,Richard Blumenthal,Blumenthal,D,CT,20,-13.6,31.3,-11.3
Senate,Martin Heinrich,Heinrich,D,NM,25,-8.2,38.7,-13.7
Senate,Michael F. Bennet,Bennet,D,CO,30.4,-4.9,44.3,-14
Senate,Kirsten E. Gillibrand,Gillibrand,D,NY,8.9,-22.5,23.8,-14.9
Senate,Catherine Cortez Masto,Cortez Masto,D,NV,33.9,-2.4,49.1,-15.2
