"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"41","CA-20","California 20th","Democratic","Jimmy","Panetta","(JIM-ee puh-NET-uh)","/'d_ÍÄÈ.mi pÄ».'nÄ_.Ä_Ä»","2016",1969,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Open - Retired",70.8,29.2,"75.2",0,"74.1",25.9,70.4,23.2,70.9,26.2,73.4,26.6,44.9,2.2,44.4,6,0.4,2.1,27.9,237,43.5,103,67419,118,256538,180486,59573,238341,168956,62427,238438,175070,63368,255791,180980,74811,0,141044,106034,0,35010,172996,60566,704856,276231,13944,356892,37633,2460,17696,525025,235633,11761,233001,31566,2005,11059,4874.22,144.608983591221
"42","CA-21","California 21st","Republican","David","Valadao","(DAY-vid val-uh-DAY-oh)","/'deÄÈ.vÄÈd èëví_.lÄ».'deÄÈ.o__/","2012",1977,"Man","White - Portuguese-American","Christian - Roman Catholic","No","Re-elected",43.3,56.7,"42.2",57.8,"42.2",57.8,55.2,39.7,54.6,43.5,53.6,46.4,23.2,5.3,65.9,3.8,0.6,1.2,7.9,435,19.5,422,41174,405,133544,73773,52972,119232,65146,51917,123759,66369,57390,132408,57282,75126,0,79377,33470,45907,0,49119,67164,700644,134972,31296,497434,23677,3702,9563,473659,110029,24960,312130,18103,2713,5724,6729.94,104.10850616796
"43","CA-22","California 22nd","Republican","Devin","Nunes","(DEH-vin NOO-niss)","/'dÄ_.vÄÈn 'nu.nÄÈs/","2002",1973,"Man","White - Portuguese-American","Christian - Roman Catholic","No","Re-elected",32.4,67.6,"28",72,"38.1",61.9,42.6,52.1,41.6,56.6,43.8,56.2,48,2.8,39.4,7.4,0.6,1.8,24.1,306,31.6,239,56524,213,240137,102292,125089,221278,92005,125213,218875,95918,122957,234966,76211,158755,0,133342,37289,96053,0,81555,132386,704840,298022,19708,316151,51311,4125,15523,499241,239522,13868,196766,37184,3102,8799,1165.12,604.950563032134
"44","CA-23","California 23rd","Republican","Kevin","McCarthy","(KEH-vin muh-CAR-thee)","/'kÄ_.vÄÈn mÄ».'kÄïÄ_.‘Ÿi/","2006",1965,"Man","White - Non-Hispanic","Christian - Baptist","No","Re-elected",30.8,69.2,"25.2",74.8,"0",100,36.1,58.1,36.1,61.5,37.5,62.5,55.7,5.7,30.8,4.8,0.9,2.1,20.8,373,24.6,362,54437,239,244864,88314,142351,227297,82119,139816,229314,85903,143411,241584,74468,167116,0,134043,33726,100317,0,0,158161,701673,355329,41191,248938,31516,6304,18395,503535,280367,28523,155326,23953,4696,10670,9898,70.8903818953324
"45","CA-24","California 24th","Democratic","Salud","Carbajal","(sah-LOOD KAR-buh-hahl)","/sÄï.'lud 'kÄïÄ_.bÄ».hÄïl/","2016",1964,"Man","Hispanic - Mexican","Christian - Roman Catholic","No","Open - Retired",53.4,46.6,"51.9",48.1,"55.1",44.9,56.7,36.5,54.1,43.1,57.8,42.2,62,2,29,4.5,0.5,2.1,34,141,44.8,93,68929,104,312160,176979,113887,292406,158119,126049,303345,175426,127919,310814,166034,144780,0,198794,103228,95566,0,156749,127746,703683,402081,12497,239822,28931,3282,17070,553080,343003,10813,160320,24762,2712,11470,6883.35,102.229728257317
"46","CA-25","California 25th","Republican","Steve","Knight","(STEVE NITE)","/stiv naÄÈt/","2014",1966,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",46.9,53.1,"0",100,"45.2",54.8,50.3,43.6,47.8,49.7,50.7,49.3,50.3,7.6,31.5,8.1,0.3,2.2,27.8,242,33.3,219,75367,69,273218,137491,119249,252249,120701,125258,242411,122998,119413,261161,122406,138755,0,114072,0,114072,0,106982,129593,701281,321359,56375,247883,53335,2151,20178,501767,252616,38092,158077,40478,1691,10813,1690.5,414.836438923395
"47","CA-26","California 26th","Democratic","Julia","Brownley","(JOO-lee-uh BROWN-lee)","/'d_Íu.li.Ä» 'bÄ_a__n.li/","2012",1952,"Woman","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",60.4,39.6,"51.3",48.7,"52.7",47.3,57.9,36,54,43.7,57.8,42.2,50.9,1.8,38.4,6.9,0.3,1.7,34.1,138,46.3,84,76914,61,292232,169083,105259,273647,147753,119677,278538,160865,117673,280307,169248,111059,0,169829,87176,82653,0,139072,124863,707145,326988,11594,304625,45590,2001,16347,523593,266606,9206,200923,36133,1613,9112,939.12,752.986838742653
"48","CA-27","California 27th","Democratic","Judy","Chu","(JOO-dee CHOO)","/'d_Íu.Ä_i t_€u/","2009 Special",1953,"Woman","Asian - Chinese","Unknown","No","Re-elected",67.4,32.6,"59.4",40.6,"64",36,66,28.4,62.6,35,63.1,36.9,31.3,4.5,24.4,38,0.2,1.7,40.5,79,53.1,44,71223,86,264466,174544,74984,257970,161528,90278,262353,165471,96882,250632,168977,81655,0,127580,75728,51852,0,154191,86817,704160,205453,31301,190005,259948,1052,16401,558942,174820,25275,136134,212299,845,9569,699.9,1006.08658379769
"49","CA-28","California 28th","Democratic","Adam","Schiff","(ADD-uhm SHIFF)","/'í_.Ä_Ä»m _€ÄÈf/","2000",1960,"Man","White - Non-Hispanic","Jewish","No","Re-elected",78,22,"76.5",0,"76.5",23.5,72.1,22.3,70.3,26.5,72.1,27.9,58.1,2.5,23,13.6,0.2,2.7,46.2,38,51.6,54,63940,143,289254,208645,64607,266628,187441,70757,266374,192035,74339,270409,210883,59526,0,120264,91996,0,28268,188703,58008,700877,389271,16269,178368,94498,1080,21391,582270,338469,14400,133994,78940,975,15492,218.45,3208.40924696727
"50","CA-29","California 29th","Democratic","Tony","Cardenas","(TOH-nee CAR-deh-nahs) [R is trilled]","/'to.ni 'kÄïr.dÄ_.nas/","2012",1963,"Man","Hispanic - Mexican","Christian - Protestant","No","Re-elected",100,0,"74.6",25.4,"100",0,77.7,16.8,77,20.5,76,24,21.7,4,64.1,8.5,0.2,1.4,19.2,398,34.5,194,50655,298,196196,152517,32963,167889,129323,34454,144433,109792,34641,171824,171824,0,0,67141,50096,17045,0,111287,0,701446,128951,25537,482104,52695,1330,10829,512286,111330,20288,328545,43662,1078,7383,92.03,7621.92763229382
"51","CA-30","California 30th","Democratic","Brad","Sherman","(BRADD SHUR-muhn)","/bÄ_í_d '_€ÄìÄ_.mÄ»n/","1996",1954,"Man","White - Non-Hispanic","Jewish","No","Re-elected",72.6,27.4,"65.6",34.4,"100",0,69.1,25.7,65.3,32.1,67.3,32.7,56.6,4.2,24,12.3,0.2,2.7,42.4,61,49.3,66,76778,62,302805,209149,77701,285226,186301,91680,269653,181568,88085,282604,205279,77325,0,131883,86568,45315,0,247851,0,705295,376090,29570,190750,84259,1214,23412,559607,316869,23509,134303,68605,1018,15303,135.94,5188.28159482124
"52","CA-31","California 31st","Democratic","Pete","Aguilar","(PETE AGG-yuh-lar)","/pit 'í_.gjÄ».lÄïÄ_/","2014",1979,"Man","Hispanic - Mexican","Christian - Roman Catholic","No","Re-elected",56.1,43.9,"51.7",48.3,"0",100,57.7,36.6,57.2,40.6,58,42,34.4,11,44.3,8,0.3,2,22.7,338,33.7,210,58668,191,228825,131960,83701,206242,118043,83822,208418,120873,87545,215936,121070,94866,0,99784,51622,48162,0,0,161219,704230,209488,76800,347395,51105,2154,17288,501208,172656,55105,221916,39859,1738,9934,218.24,3226.8603372434
"53","CA-32","California 32nd","Democratic","Grace","Napolitano","(GRACE nuh-pol-ee-TAN-oh) [O is unrounded]","/gÄ_eÄÈs nÄ».èëpo.li.'tí_.no/","1998",1936,"Woman","Hispanic - Mexican","Christian - Roman Catholic","No","Re-elected",100,0,"59.7",40.3,"65.7",34.3,66.6,27.7,65.2,32.5,64.3,35.7,21.2,2.7,57.8,16.9,0.2,1.2,21.4,361,30.6,262,67101,120,220046,146459,60921,204169,133061,66269,207398,133459,73939,186646,186646,0,0,84406,50353,34053,0,124903,65208,709057,128699,17992,443630,107252,1396,10088,521893,110400,14295,301571,88219,1134,6274,124.23,5707.61490783225
"54","CA-33","California 33rd","Democratic","Ted","Lieu","(TEDD LOO)","/tÄ_d lu/","2014",1969,"Man","Asian - Chinese","Christian - Roman Catholic","No","Re-elected",66.4,33.6,"59.2",40.8,"54",46,67.8,26.5,60.6,36.8,65.5,34.5,70.1,2.8,10.3,13.7,0.2,2.9,65.4,2,68.1,10,101956,11,353897,239982,93706,346504,210010,127421,350465,229683,120782,330219,219397,110822,0,183031,108331,74700,0,171860,146660,697199,476364,19387,78838,94476,1101,27033,568279,398285,15806,58795,78114,925,16354,288.58,2415.96437729572
"55","CA-34","California 34th","Democratic","Jimmy","Gomez","(JIM-ee GOH-mehz)","/'d_ÍÄÈ.mi 'go__.mÄ_z/","2017 special",1974,"Man","Hispanic - Mexican","Christian - No Data","No","Re-elected",100,0,"100",0,"85.6",14.4,83.6,10.7,83,14.1,79.6,20.4,10.9,5.1,60.5,22.1,0.2,1.2,25.4,285,59.4,28,40847,412,184601,154259,19784,153699,127510,21739,135799,108129,27670,159156,159156,0,0,61607,61607,0,0,120367,20223,705324,64935,31020,461664,137158,1362,9185,539883,58861,27285,326761,119107,1121,6748,47.66,14799.0767939572
"56","CA-35","California 35th","Democratic","Norma","Torres","(NOR-muh TOR-ez)","/'nÄîÄ_.mÄ» 'tÄî.Ä_Ä_z/","2014",1965,"Woman","Hispanic - Guatemalan","Christian - Roman Catholic","No","Re-elected",72.4,27.6,"100",0,"100",0,67.7,26.9,67.4,30.6,66.4,33.6,19.1,7.2,65,7.2,0.3,1.3,16.1,418,23.8,376,57159,206,188611,127757,50822,161732,108983,49433,160361,106523,53838,171353,124044,47309,0,62255,62255,0,0,142680,0,699719,110455,46303,487449,43584,1692,10236,484975,92609,34824,315064,34918,1326,6234,168.88,4143.29109426812
"57","CA-36","California 36th","Democratic","Raul","Ruiz","(ra-OOL roo-EEZ)","/Ä_í_.'ul Ä_u.'iz/","2012",1972,"Man","Hispanic - Mexican","Christian - Seventh-Day Adventist","No","Re-elected",62.1,37.9,"54.2",45.8,"52.9",47.1,52.2,43.4,50.7,47.5,51.8,48.2,51.9,3.5,39.5,3.1,0.7,1.3,20.6,377,29.8,272,44567,379,237370,123795,103051,212939,107914,101156,205988,106785,99203,232617,144348,88269,0,134139,72682,61457,0,110189,97953,700371,310748,25061,326871,20622,5052,12017,521859,270869,18295,205919,16231,3641,6904,5912.64,118.453178275694
"58","CA-37","California 37th","Democratic","Karen","Bass","(KAIR-in BASS)","/'kÄ_.Ä_ÄÈn bí_s/","2010",1953,"Woman","Black - African-American","Christian - Baptist","No","Re-elected",100,0,"84.3",15.7,"86.4",13.6,85.7,9.6,84.9,12.7,86.4,13.6,27.2,24.8,34.3,10.6,0.2,2.8,36.9,108,66.6,12,55190,228,276134,236621,26608,261858,222329,33307,255824,220967,34857,237272,237272,0,0,114838,96787,18051,0,207039,32541,705221,172925,172513,271274,65280,1174,22055,553286,150708,137337,189967,58812,952,15510,55.26,12761.8711545422
"59","CA-38","California 38th","Democratic","Linda","Sanchez","(LIN-duh SAN-chez)","/'lÄÈn.dÄ» 'sí_n.t_€Ä_z/","2002",1969,"Woman","Hispanic - Mexican","Christian - Roman Catholic","No","Re-elected",70.5,29.5,"59.1",40.9,"67.5",32.5,67,27.4,64.9,33,63.8,36.2,21.9,3.5,57.2,15.7,0.3,1.3,23.5,321,25.6,345,66421,126,248224,166224,68033,229875,149141,75780,234510,149600,84910,232114,163590,68524,0,98480,58192,40288,0,145280,69807,695463,131697,24637,427083,99713,1649,10684,516385,113339,18216,295564,81317,1369,6580,101.46,6854.55351862803
"60","CA-39","California 39th","Republican","Ed","Royce","(ED ROYS)","/Ä_d Ä_ÄîÄÈs/","1992",1951,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",42.8,57.2,"31.5",68.5,"42.2",57.8,51.5,42.9,47.1,50.8,48.8,51.2,37.4,2.4,28.5,29.8,0.2,1.8,41.6,67,43.7,100,85188,39,272471,140230,116782,263530,124108,133742,266301,129989,136312,263456,112679,150777,0,133225,41906,91319,0,106360,145607,696460,239399,15997,224194,199446,1257,16167,530634,198202,12519,151476,158032,1019,9386,204.4,3407.3385518591
"61","CA-40","California 40th","Democratic","Lucille","Roybal-Allard","(loo-SEEL ROY-bawl AL-lurd)","/lu.'sil 'Ä_ÄîÄÈ.bÄîl 'í_.lÄ»Ä_d/","1992",1941,"Woman","Hispanic - Mexican","Christian - Roman Catholic","No","Re-elected",71.4,0,"100",0,"100",0,82.2,12.8,81.5,16.5,79.5,20.5,6.7,5.5,84.2,2.8,0.2,0.6,9.8,433,24.6,362,42902,391,164714,135472,21077,141918,115637,23446,131325,104433,26892,149297,106554,0,42743,49379,49379,0,0,125553,0,703827,38003,35859,608058,16299,997,4611,478423,31970,26289,402942,13599,779,2844,57.69,12200.1560062402
"62","CA-41","California 41st","Democratic","Mark","Takano","(MARK tuh-KAHN-noh)","/mÄïÄ_k tÄ».'kÄï.no__/","2012",1960,"Man","Asian - Japanese","Christian - Methodist","Gay","Re-elected",65,35,"56.6",43.4,"59",41,61,33.1,61.5,36.3,60.7,39.3,30.9,9.6,50.3,6.9,0.4,1.9,18.3,405,28.2,301,62069,155,206961,126197,68526,185429,114040,67314,174916,106235,68681,197323,128164,69159,0,82884,46948,35936,0,103578,72074,701109,182700,66182,392728,41005,2459,16035,490407,151364,47309,246668,33867,1899,9300,316.54,2214.91438680735
"63","CA-42","California 42nd","Republican","Ken","Calvert","(KEN KAL-vert)","/kÄ_n 'kí_l.vÄ»Ä_t/","1992",1953,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",41.2,58.8,"34.3",65.7,"39.4",60.6,41.4,53.4,41.4,56.5,45,55,50.8,5.3,32.1,9.3,0.4,2.1,25,294,27.4,307,76504,63,268305,111103,143175,232520,96212,131438,212612,95675,116937,254236,104689,149547,0,113390,38850,74540,0,84702,130245,709841,330416,36689,256739,62490,2857,20650,502971,255312,26836,161500,46843,2167,10313,935.96,758.409547416556
"64","CA-43","California 43rd","Democratic","Maxine","Waters","(MACK-seen WAH-terz)","/'mí_k.sin 'wÄï.Ä_Ä»Ä_z/","1990",1938,"Woman","Black - African-American","Christian - Protestant","No","Re-elected",76.1,23.9,"71",29,"100",0,78.4,16.7,78,20,77.1,22.9,17.7,24.2,41.7,14.1,0.2,2.1,26.5,264,46.2,85,54614,234,234060,183434,39039,222219,173342,44485,217683,167844,49839,219516,167017,52499,0,98202,69681,28521,0,200894,0,703742,105987,165892,324296,88512,1349,17706,520049,91816,125866,216776,73466,1096,11029,72.03,9770.12355962793
"65","CA-44","California 44th","Democratic","Nanette","Barragan","(nuh-NET BAIR-uh-gen)","/nÄ».'nÄ_t 'bÄ_.Ä_Ä».gÄ_n/","2016",1976,"Woman","Hispanic - Mexican","Christian - Roman Catholic","No","Open - Ran for LA County Supervisor and won",100,0,"86.7",0,"100",0,83,12.3,84.7,13.6,83.4,16.6,9,18,64.5,7.1,0.2,1.2,12.3,430,26.5,322,50890,291,197802,164251,24261,183586,155459,24995,167638,139728,27910,178413,178413,0,0,68862,59670,0,9192,165898,0,702899,50147,117907,480731,43546,1254,9314,487334,43768,87781,314209,34779,1013,5784,79.36,8857.09425403226
"66","CA-45","California 45th","Republican","Mimi","Walters","(MEE-mee WAWL-terz)","/'mi.mi 'wÄîl.tÄ»Ä_z/","2014",1962,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",41.4,58.6,"34.9",65.1,"41.5",58.5,49.8,44.4,43,54.8,47.7,52.3,58.3,1.5,16.4,21,0.2,2.7,56,12,56.5,35,97356,19,325967,162449,144713,309399,133114,169489,309553,147542,162011,311849,129231,182618,0,162902,56819,106083,0,121814,171417,692013,384853,10010,128724,142173,1217,25036,531667,310132,7937,86929,111541,974,14154,330.39,2094.53373286116
"67","CA-46","California 46th","Democratic","Lou","Correa","(LOO kor-AY-uh) [R is trilled in Spanish]","/'lu 'kÄî.reÄÈ.Ä»/","2016",1958,"Man","Hispanic - Mexican","Christian - Roman Catholic","No","Open - Ran for Senate and lost",100,0,"59.7",40.3,"63.9",36.1,66.3,27.9,61.4,36.2,60.1,39.9,22.5,1.9,60.8,13.3,0.2,1.2,18.7,402,31,250,61304,168,180750,119762,50403,155493,95479,56252,152425,91557,60868,164593,164593,0,0,83315,49738,33577,0,95694,54121,708237,131037,12165,470745,83387,1368,9535,504841,113813,9687,306928,67218,1067,6128,71.72,9875.0278862242
"68","CA-47","California 47th","Democratic","Alan","Lowenthal","(AL-en LOW-en-thawl)","/'í_.lÄ_n 'lo__.Ä_n.‘ŸÄîl/","2012",1941,"Man","White - Non-Hispanic","Jewish","No","Re-elected",63.7,36.3,"56",44,"56.6",43.4,62.6,31,60,37.5,59.5,40.5,38.5,7.3,29.6,22.1,0.3,2.2,32,168,43.2,107,65450,134,258320,161743,80162,245624,147456,92010,244896,145697,99199,242868,154759,88109,0,123400,69091,54309,0,130093,99919,701770,239094,51309,239436,149779,1928,20224,533085,205319,38828,157822,117608,1602,11906,216.21,3245.77956616253
"69","CA-48","California 48th","Republican","Dana","Rohrabacher","(DAY-nuh RUHR-uh-bah-ker)","/deÄÈ.nÄ» 'Ä__ë.Ä_Ä».èëbÄï.kÄ»Ä_/","1988",1947,"Man","White - Non-Hispanic","Christian - Baptist","No","Re-elected",41.7,58.3,"35.9",64.1,"39",61,47.9,46.2,43,54.7,47.5,52.5,61.5,1,17,18.1,0.2,2.1,44.6,46,52.2,50,88903,30,317328,152035,146595,309496,133103,169249,311625,148080,163545,306416,127715,178701,0,174795,62713,112082,0,113358,177144,712874,415230,6680,140691,127786,1515,20972,561701,345365,5482,95599,101923,1271,12061,145.47,4900.48807314223
"70","CA-49","California 49th","Republican","Darrell","Issa","(DAIR-uhl ICE-uh)","/'dÄ_.Ä_Ä»l 'aÄÈ.sÄ»/","2000",1953,"Man","White - Non-Hispanic","Christian - Orthodox","No","Re-elected",49.7,50.3,"39.8",60.2,"41.8",58.2,50.7,43.2,45.7,52.2,50.7,49.3,65.4,2.4,22.1,7.6,0.4,2.2,44,51,52,52,80877,47,314011,159081,135576,294468,134447,153856,289032,146459,142573,310155,154267,155888,0,163142,64981,98161,0,114893,159725,713732,438171,16596,182877,50892,2465,22731,541472,354022,12811,119740,40941,1984,11974,553.08,1290.46792507413
"71","CA-50","California 50th","Republican","Duncan","Hunter","(DUHN-kuhn HUHN-ner)","/'d_ëÅ†.kÄ»n 'h_ë.nÄ»Ä_/","2008",1976,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",36.5,63.5,"28.8",71.2,"32.3",67.7,39.6,54.6,37.6,60.4,40.4,59.6,63.3,2.3,25.7,5.5,0.9,2.2,28.2,230,33.5,214,71692,83,292878,115864,159822,273289,102649,165104,269249,108686,160563,283583,103646,179937,0,157299,45302,111997,0,83455,174838,700614,410047,16301,210423,36142,6908,20793,520756,329692,12043,134076,28646,4941,11358,2787.35,251.354871114141
"72","CA-51","California 51st","Democratic","Juan","Vargas","(WAHN VAR-gus)","/wÄïn 'vÄïÄ_.gÄ»s/","2012",1961,"Man","Hispanic - Mexican","Christian - Roman Catholic","No","Re-elected",72.8,27.2,"68.8",31.2,"71.5",28.5,71.8,22.8,69.4,28.9,67.2,32.8,17.6,7.4,63.9,9.1,0.5,1.5,14.1,426,26.6,320,46639,355,205437,147603,46825,166684,115610,48108,164492,110561,53931,199524,145162,54362,0,81950,56373,25577,0,113934,45464,702436,101085,47932,480634,57218,3132,12435,503460,88607,37415,321527,45770,2367,7774,4791.61,146.597072800165
"73","CA-52","California 52nd","Democratic","Scott","Peters","(SKAHT PEE-terz)","/skÄït 'pi.Ä_Ä»Ä_z/","2012",1958,"Man","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",56.5,43.5,"51.6",48.4,"51.2",48.8,58.1,35.6,52.1,45.7,56.1,43.9,64.7,2.9,11.6,17.8,0.3,2.8,57.4,9,61.2,23,90854,27,329258,191325,117057,314748,163911,143726,326265,183133,143132,320656,181253,139403,0,191572,98826,92746,0,151451,144459,697659,433164,20283,90611,124125,1958,27518,560637,362782,16208,64846,99553,1592,15656,267,2612.95505617978
"74","CA-53","California 53rd","Democratic","Susan","Davis","(SOO-zuhn DAY-viss)","/'su.zÄ»n 'deÄÈ.vÄÈs/","2000",1944,"Woman","White - Non-Hispanic","Jewish","No","Re-elected",67,33,"58.8",41.2,"61.4",38.6,64.5,29.6,61.4,36.4,62.5,37.5,48.1,7.5,27.6,13.5,0.4,2.9,37.8,95,48.1,75,69314,97,310373,200237,91822,284333,174616,103513,288645,180281,108364,296956,198988,97968,0,148044,87104,60940,0,164825,103482,699221,302484,54751,221120,91477,2356,27033,546096,262923,40868,150625,73753,1959,15968,135.43,5162.96979989662
"75","CO-01","Colorado 1st","Democratic","Diana","DeGette","(die-ANN-uh duh-GET)","/daÄÈ.'í_n.Ä» dÄ».'gÄ_t/","1996",1957,"Woman","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",67.9,27.7,"65.8",29,"71.8",28.2,69,23.2,69,28.8,70.9,27.6,62.2,8,24.2,3.3,0.6,1.8,47.6,31,60.5,25,62718,148,402463,277790,93486,368798,254400,106334,336293,238267,92818,379036,257254,105030,16752,278491,183281,80682,14528,237579,93217,717603,406873,60035,207066,23415,4076,16138,561585,349330,44977,135637,18571,3241,9829,189.62,3784.42674823331
"76","CO-02","Colorado 2nd","Democratic","Jared","Polis","(JAIR-ed POLL-iss)","/'d_ÍÄ_.Ä_Ä_d 'po__.lÄÈs/","2008",1975,"Man","White - Non-Hispanic","Jewish","Gay","Re-elected",56.9,37.2,"56.7",43.3,"59.1",40.9,56.2,34.9,57.9,39.5,61.2,37.2,86.7,0.7,8.1,2.8,0.4,1.3,54.3,18,56.8,33,75659,67,471308,264925,164710,440652,255209,174095,416822,255063,154884,457312,260175,170001,27136,345945,196300,149645,0,234758,162639,720579,608657,5200,70134,20592,2680,13316,568934,493336,4066,45942,15899,2063,7628,7535.34,95.6266074258096
"77","CO-03","Colorado 3rd","Republican","Scott","Tipton","(SKAHT TIP-ton)","/skÄït 'tÄÈp.tÄ»n/","2010",1956,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",40.3,54.6,"35.7",58,"43.5",56.5,40,52,45.8,51.8,48.4,49.9,75.5,0.7,20.7,0.7,1.2,1.2,29.2,216,34,203,50817,293,377176,151057,195966,358045,163886,185459,343167,166259,171205,374037,150914,204220,18903,281141,100364,163011,17766,142920,185291,718598,516568,4920,172177,5136,9245,10552,549229,414403,3860,113616,4043,6829,6478,49731.77,14.4494756571101
"78","CO-04","Colorado 4th","Republican","Ken","Buck","(KEN BUHK)","/kÄ_n b_ëk/","2014",1959,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",31.7,63.5,"29.2",64.7,"38.6",61.4,34.3,57.4,39.2,58.5,41.9,56.4,77.2,1.3,18.1,1.7,0.6,1.1,34.9,131,39.4,145,67878,113,402197,137779,230945,357971,140404,209415,330465,138609,186271,390549,123642,248155,18752,286507,83727,185292,17488,125800,200006,717241,529742,8734,151566,12288,3597,11314,522909,403465,6952,94856,8958,2884,5794,38102.67,18.8239039416398
"79","CO-05","Colorado 5th","Republican","Doug","Lamborn","(DUHG LAMB-BORN) [equal stress]","/d_ëg lí_m.bÄîÄ_n/","2006",1954,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",30.9,62.3,"40.2",59.8,"0",100,33.2,57.2,38.3,59.1,39.7,58.8,77.1,5.2,12,2.8,0.7,2.3,37,107,40.9,129,62372,151,371751,123508,212517,339143,129903,200491,320557,127252,188389,361993,111676,225445,24872,262855,105673,157182,0,0,199639,719812,530955,37995,102871,19021,4759,24211,539460,415862,28043,64876,14862,3673,12144,7265.72,99.069603563033
"80","CO-06","Colorado 6th","Republican","Mike","Coffman","(MIKE KAWF-min)","/maÄÈk 'kÄîf.mn/","2008",1955,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",42.6,50.9,"43",51.9,"48.9",51.1,50.2,41.3,51.6,46.5,53.6,44.9,67.3,8.4,16.7,5.3,0.4,1.8,41.8,65,49.4,65,76451,64,380535,191103,157115,354989,183024,165070,326232,175007,146589,376417,160372,191626,24419,276440,118847,143467,14126,156937,163938,719715,455014,62231,141923,37602,2812,20133,521204,350982,43868,87117,27686,2141,9410,474.66,1516.27480723044
"81","CO-07","Colorado 7th","Democratic","Ed","Perlmutter","(ED PEARL-mutt-er)","/Ä_d 'pÄìÄ_l.mÄ».Ä_Ä»Ä_/","2006",1953,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",55.2,39.8,"55.1",44.9,"56.7",43.3,51.4,39.4,56.1,41.3,57.4,40.7,70.9,1.3,22.7,3.2,0.6,1.3,32.5,163,39.2,147,66063,129,374616,192637,147645,349920,196276,144379,327142,187678,133184,362010,199758,144066,18186,269143,148225,120918,0,182460,139066,715648,472984,9663,192950,23171,4075,12805,540266,383135,7045,122418,17424,3115,7129,342.11,2091.86518955891
"82","CT-01","Connecticut 1st","Democratic","John","Larson","(JAHN LAR-suhn)","/d_ÍÄïn 'lÄïÄ_.sÄ»n/","1998",1948,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",64.1,33.8,"62.3",36.1,"71.5",28.5,59.4,36.3,63.3,35.6,65.8,32.9,68.8,12.9,12.5,4.2,0.1,1.4,36.8,111,42.7,115,70215,94,328774,195305,119395,317496,200960,112982,334807,220181,110296,312925,200686,105674,6565,217696,135686,78520,3490,206973,82321,711905,463950,97473,104464,31262,1058,13698,550375,378925,71209,68830,23058,778,7575,675.45,1053.97142645644
"83","CT-02","Connecticut 2nd","Democratic","Joe","Courtney","(JOH KORT-nee)","/d_Ío__ 'kÄîÄ_t.ni/","2006",1953,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",63.2,33.7,"62.3",35.5,"69.9",30.1,48.7,45.8,55.9,42.6,58.6,40,86,3.7,5.7,2.9,0.4,1.4,35.1,130,36.3,179,74784,71,340758,165799,155975,317687,177544,135235,340366,199414,136155,330257,208818,111149,10290,227750,141851,80842,5057,204708,88103,712938,600037,25834,48295,20733,2930,15109,559634,481488,20502,31638,15994,2121,7891,1987.68,358.678459309346
